Organization Name,Organization Name URL,Headquarters Location,Description,Industries,CB Rank (Company),Exit Date,Exit Date Precision,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Founded Date,Founded Date Precision,Operating Status
Gecko Robotics,https://www.crunchbase.com/organization/gecko-robotics,"Pittsburgh, Pennsylvania, United States","Gecko Robotics provides robotics and inspection services, particularly for industrial applications.","Industrial Engineering, Information Technology, Infrastructure, Military, Robotics, Software",136,,,6,Late Stage Venture,2024-02-02,,,,Secondary Market,100000000,USD,100000000,222000000,USD,222000000,Series C,222000000,USD,222000000,"Y Combinator, Soma Capital, Founders Fund, US Innovative Technology Fund, Drive Capital",2013-01-01,year,Active
Lime,https://www.crunchbase.com/organization/limebike,"San Francisco, California, United States",Lime helps people move around their cities in an affordable and convenient way while eliminating their carbon footprint.,"Last Mile Transportation, Mobile Apps, Ride Sharing, Transportation",139,,,11,Late Stage Venture,2021-11-05,105000000,USD,105000000,Debt Financing,170000000,USD,170000000,935000000,USD,935000000,Series D,1458000000,USD,1458000000,"Notable Capital, Fidelity, Uber, UpHonest Capital, Andreessen Horowitz",2017-01-01,month,Active
Notable,https://www.crunchbase.com/organization/notable,"San Mateo, California, United States",Notable is an AI-powered health start-up that automates and digitizes every physician-patient interaction.,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Information Services, Software",170,,,4,Early Stage Venture,2021-11-03,100000000,USD,100000000,Series B,100000000,USD,100000000,119200000,USD,119200000,Series B,119200000,USD,119200000,"ICONIQ Growth, F-Prime Capital, Maverick Ventures, Oak HC/FT, 8VC",2017-01-01,year,Active
Overjet,https://www.crunchbase.com/organization/overjet,"Cambridge, Massachusetts, United States",Overjet is an AI-powered dental technology company that provides algorithms to analyze dental images and deliver diagnoses.,"Artificial Intelligence (AI), Dental, Electronic Health Record (EHR), Health Diagnostics, Software",174,,,5,Late Stage Venture,2024-03-05,53200000,USD,53200000,Series C,53200000,USD,53200000,130550000,USD,130550000,Series C,130550000,USD,130550000,"General Catalyst, Crosslink Capital, Insight Partners, The E14 Fund, March Capital",2018-01-01,year,Active
Labelbox,https://www.crunchbase.com/organization/labelbox,"San Francisco, California, United States",Labelbox is a data-centric AI platform for building intelligent applications.,"Artificial Intelligence (AI), Computer Vision, Data Collection and Labeling, Enterprise Software, Machine Learning, Software",177,,,6,Late Stage Venture,2022-01-06,110000000,USD,110000000,Series D,110000000,USD,110000000,188900000,USD,188900000,Series D,188900000,USD,188900000,"Andreessen Horowitz, B Capital, Gradient Ventures, Kleiner Perkins, Titan Capital",2018-01-01,year,Active
Affinity,https://www.crunchbase.com/organization/affinity-inc,"San Francisco, California, United States",Affinity is a relationship intelligence platform built to expand and evolve the traditional CRM. ,"Analytics, Artificial Intelligence (AI), Business Development, Business Intelligence, Contact Management, CRM, Enterprise Software, Lead Generation",181,,,5,Late Stage Venture,2021-09-09,80000000,USD,80000000,Series C,80000000,USD,80000000,120000000,USD,120000000,Series C,120000000,USD,120000000,"Pear VC, MassMutual Ventures, La Famiglia, 8VC, Western Technology Investment",2014-01-01,year,Active
Grin,https://www.crunchbase.com/organization/grin-inc,"Sacramento, California, United States",GRIN is a marketing software that enables direct-to-consumer brands to collaborate and manage their relationships with influencers.,"Analytics, E-Commerce, Marketing, Social Media Marketing",205,,,6,Early Stage Venture,2021-10-13,110000000,USD,110000000,Series B,110000000,USD,110000000,145260000,USD,145260000,Series B,145260000,USD,145260000,"LAUNCH, Bond, Imaginary Ventures, Headline, MAGIC Fund",2014-01-01,year,Active
Ninjacart,https://www.crunchbase.com/organization/ninjacart,"Bengaluru, Karnataka, India","Ninjacart is a business-to-business fresh produce supply chain that connects farmers, manufactures, and brands to retailers directly.","AgTech, B2B, E-Commerce, Marketing, Sales, Supply Chain Management",220,,,15,Late Stage Venture,2022-05-18,698000000,INR,8969363,Series D,698000000,INR,8969363,352344581,USD,352344581,Series D,357624581,USD,357624581,"Walmart, Flipkart, Qualcomm Ventures, Accel, Steadview Capital",2015-07-01,month,Active
Quora,https://www.crunchbase.com/organization/quora,"Mountain View, California, United States",Quora is a question-and-answer platform that allows users to ask and answer questions on a wide range of topics.,"Copywriting, Information Services, Internet, Product Design, Q&A",239,,,5,,2024-01-10,75000000,USD,75000000,Venture - Series Unknown,75000000,USD,75000000,301000000,USD,301000000,Venture - Series Unknown,301000000,USD,301000000,"Andreessen Horowitz, Y Combinator, Collaborative Fund, Founders Fund, Peter Thiel",2009-06-01,day,Active
Check,https://www.crunchbase.com/organization/check-2a75,"New York, New York, United States",Check is a payroll infrastructure startup that offers software development services.,"Information Technology, Payments, SaaS, Software",251,,,4,Late Stage Venture,2022-02-16,75000000,USD,75000000,Series C,75000000,USD,75000000,119000000,USD,119000000,Series C,119000000,USD,119000000,"Stripe, Thrive Capital, Altman Capital, Contrary, Bedrock",2019-01-01,year,Active
SecurityScorecard,https://www.crunchbase.com/organization/security-scorecard,"New York, New York, United States",SecurityScorecard is a cybersecurity platform used for predicting and remediating potential security risks.,"Cyber Security, Risk Management, Security, Software",256,,,8,Late Stage Venture,2021-03-18,180000000,USD,180000000,Series E,180000000,USD,180000000,292200000,USD,292200000,Series E,292200000,USD,292200000,"Sequoia Capital, T. Rowe Price, Google Ventures, NGP Capital, AXA Venture Partners",2013-01-01,year,Active
Petal,https://www.crunchbase.com/organization/petal,"New York, New York, United States",Petal is a financial technology company that offers three Visa credit card products for underserved consumers.,"Credit Cards, Financial Services, FinTech, Machine Learning",257,2024-04-09,day,18,M&A,2023-08-03,220000000,USD,220000000,Debt Financing,20000000,USD,20000000,310800000,USD,310800000,Venture - Series Unknown,992600000,USD,992600000,"Trinity Capital, Gaingels, Abstract Ventures, Jefferies, Valar Ventures",2016-01-01,year,Active
Inshorts,https://www.crunchbase.com/organization/news-in-shorts,"Noida, Uttar Pradesh, India","Inshorts is an aggregator app that summarizes news articles in 60 words and covers a wide-range of topics, including tech and business.","Digital Media, Internet, Mobile Apps, News",275,,,9,,2021-07-15,4460000000,INR,59834003,Venture - Series Unknown,4460000000,INR,59834003,164854004,USD,164854004,Venture - Series Unknown,164854004,USD,164854004,"Tiger Global Management, A91 Partners, Binny Bansal, Tanglin Venture Partners, Addition",2013-04-01,day,Active
Vouch,https://www.crunchbase.com/organization/vouch-insurance-21c4,"San Francisco, California, United States",Vouch is a business insurance provider to high-growth tech and life science companies.,"Finance, Financial Services, Insurance, InsurTech",282,,,7,Late Stage Venture,2024-03-11,25000000,USD,25000000,Series C,25000000,USD,25000000,184724996,USD,184724996,Series C,184724996,USD,184724996,"SVB Financial Group, Alumni Ventures, 500 Global, Everywhere Ventures (The Fund), Y Combinator",2018-01-01,year,Active
Jupiter,https://www.crunchbase.com/organization/amica-financial-technologies,"Mumbai, Maharashtra, India","Jupiter is a digital banking app that offers smart insights based on your spending, and provides features to make sense of your finances.","Banking, Consulting, Finance, Financial Services, FinTech, Wealth Management",307,,,5,Late Stage Venture,2022-12-30,1000000000,INR,12084593,Debt Financing,86000000,USD,86000000,155000000,USD,155000000,Series C,167084594,USD,167084594,"Rocket Internet, Nubank, Hummingbird Ventures, Matrix Partners India, Mirae Asset Venture Investment",2019-08-01,day,Active
Foursquare,https://www.crunchbase.com/organization/foursquare,"New York, New York, United States",Foursquare is a location technology platform offering business solutions and consumer products through a deep understanding of location.,"Advertising, Advertising Platforms, Analytics, Apps, Big Data, Developer APIs, Developer Tools, Guides, Mobile Advertising, Private Social Networking",351,,,9,Late Stage Venture,2019-05-31,150000000,USD,150000000,Series G,150000000,USD,150000000,349350000,USD,349350000,Series G,390350000,USD,390350000,"Silver Lake, Microsoft, Naver, Andreessen Horowitz, Morgan Stanley",2009-03-01,day,Active
Platform Science,https://www.crunchbase.com/organization/platform-science,"San Diego, California, United States",Platform Science provides telematics and fleet management solutions to enhance operations and driver experiences.,"Compliance, Fleet Management, Internet of Things, SaaS, Software, Transportation",361,,,7,Late Stage Venture,2024-04-09,125000000,USD,125000000,Series D,125000000,USD,125000000,308000000,USD,308000000,Series D,322700000,USD,322700000,"Cummins, Schematic Ventures, Manhattan Venture Partners, BDT & MSD Partners, Activant Capital",2015-01-01,year,Active
Fresha,https://www.crunchbase.com/organization/fresha,"London, England, United Kingdom",Fresha is the leading consumer marketplace and an all-in-one business management platform for beauty and wellness space.,"Beauty, Health Care, Marketplace, SaaS, Scheduling",383,,,7,Late Stage Venture,2021-06-11,152500000,USD,152500000,Series C,152500000,USD,152500000,180000000,USD,180000000,Series C,185000000,USD,185000000,"Target Global, FJ Labs, General Atlantic, BECO Capital, Partech",2015-01-01,year,Active
Neo Financial,https://www.crunchbase.com/organization/neo-financial,"Calgary, Alberta, Canada","Neo Financial is a FinTech company that provides spending, savings, and rewards programs.","Finance, Financial Services, FinTech",423,,,6,Late Stage Venture,2022-05-05,185000000,CAD,144214091,Series C,185000000,CAD,144214091,274000000,CAD,214546386,Series C,235757890,USD,235757890,"Gaingels, Valar Ventures, Inovia Capital, Afore Capital, Breyer Capital",2019-01-01,year,Active
Silverfort,https://www.crunchbase.com/organization/silverfort-2,"Tel Aviv, Tel Aviv, Israel","Silverfort is a unified identity protection company that offers MFA, service account protection, and identity threat detection.","Cyber Security, Enterprise Software, Identity Management, Network Security",432,,,8,Late Stage Venture,2024-01-23,116000000,USD,116000000,Series D,116000000,USD,116000000,222500000,USD,222500000,Series D,222500000,USD,222500000,"SixThirty, Singtel Innov8, Acrew Capital, Citi Ventures, TLV Partners",2016-01-01,year,Active
Kandji,https://www.crunchbase.com/organization/kandji,"San Diego, California, United States","Kandji is a management platform for apple devices such as macOS, iOS, iPadOS, and tvOS.","Information Technology, iOS, Mobile, Software",471,,,6,Late Stage Venture,2021-11-18,100000000,USD,100000000,Series C,100000000,USD,100000000,188375000,USD,188375000,Series C,188375000,USD,188375000,"B Capital, Frontline Ventures, Greycroft, Tiger Global Management, Operator Partners",2018-01-01,year,Active
mParticle,https://www.crunchbase.com/organization/mparticle,"New York, New York, United States",MParticle is a customer data platform for multi channel consumer brands.,"Analytics, Big Data, Data Integration, Enterprise Software, Marketing Automation",528,,,10,Late Stage Venture,2021-10-05,150000000,USD,150000000,Series E,150000000,USD,150000000,267725000,USD,267725000,Series E,272030000,USD,272030000,"Bain Capital Ventures, Google Ventures, Eniac Ventures, Correlation Ventures, Permira",2013-01-01,year,Active
Moss,https://www.crunchbase.com/organization/mosscredit,"Berlin, Berlin, Germany",The corporate credit card built for your entire spend.,"Accounting, Credit Cards, Financial Services, FinTech",534,,,6,Early Stage Venture,2023-09-20,50000000,EUR,53249497,Debt Financing,75000000,EUR,85068735,150171685,USD,150171685,Series B,203421182,USD,203421182,"Valar Ventures, Tiger Global Management, Global Founders Capital, HSBC Innovation Banking, Cherry Ventures",2019-01-01,year,Active
Flo Health,https://www.crunchbase.com/organization/owhealth,"London, England, United Kingdom",Flo Health supports women through their entire reproductive lives and is the most popular women’s health app globally with 350M+ downloads.,"Artificial Intelligence (AI), Wellness, Women's",549,,,5,Early Stage Venture,2021-09-09,50000000,USD,50000000,Series B,50000000,USD,50000000,75500000,USD,75500000,Series B,75500000,USD,75500000,"Target Global, Founders Fund, Social Discovery Group, Flint Capital, Mangrove Capital Partners",2015-01-01,year,Active
Meltwater,https://www.crunchbase.com/organization/meltwater,"Oslo, Oslo, Norway","Meltwater is a social listening platform that offers businesses insights into online reputation, industry trends, and customer behavior.","Analytics, Artificial Intelligence (AI), Data Integration, Public Relations, SaaS, Social Media, Social Media Management, Software",552,,,4,Private Equity,2023-12-18,65000000,USD,65000000,Private Equity,65000000,USD,65000000,240000000,USD,240000000,Private Equity,300000000,USD,300000000,"Verdane, Silicon Valley Bank, Vector Capital, Altor, Vista Equity Partners",2001-01-01,year,Active
Typeform,https://www.crunchbase.com/organization/typeform,"Barcelona, Catalonia, Spain",Typeform is a no-code SaaS platform offering tools that assist companies to engage with their audience and grow business.,"Consumer Research, SaaS, Software, UX Design",574,,,5,Late Stage Venture,2022-03-10,135000000,USD,135000000,Series C,135000000,USD,135000000,187263316,USD,187263316,Series C,187263316,USD,187263316,"Sofina, General Atlantic, GP Bullhound, Index Ventures, Top Tier Capital Partners",2012-01-01,year,Active
HackerRank,https://www.crunchbase.com/organization/hackerrank,"Mountain View, California, United States",HackerRank provides a platform that helps companies to evaluate technical skills and create opportunities.,"Employment, Recruiting, Service Industry, Skill Assessment",600,,,5,Late Stage Venture,2022-03-29,60000000,USD,60000000,Series D,60000000,USD,60000000,102900000,USD,102900000,Series D,102900000,USD,102900000,"Y Combinator, Khosla Ventures, Susquehanna Growth Equity, JMI Equity, Recruit Holdings",2009-01-01,year,Active
Whatfix,https://www.crunchbase.com/organization/whatfix-2,"San Jose, California, United States",Whatfix is a data-driven digital adoption platform (DAP) that enables organizations and users to maximize the benefits of software.,"Enterprise Applications, Information Technology, InsurTech, Training",625,,,8,Late Stage Venture,2021-06-08,90000000,USD,90000000,Series D,90000000,USD,90000000,139545000,USD,139545000,Series D,139845000,USD,139845000,"Block, Inc., Eight Roads Ventures, F-Prime Capital, Dragoneer Investment Group, Stellaris Venture Partners",2014-06-15,day,Active
OpenSpace,https://www.crunchbase.com/organization/openspace-ai,"San Francisco, California, United States",OpenSpace develops an AI-driven photo documentation tool that automatically creates navigable photo representations of job sites.,"Artificial Intelligence (AI), Construction, Data Visualization, Information Technology, Software",627,,,9,Late Stage Venture,2022-08-09,9000000,USD,9000000,Series D,9000000,USD,9000000,199450000,USD,199450000,Series D,200425000,USD,200425000,"Mirae Asset, AngelList, Foundation Capital, BlackRock, Tishman Speyer",2017-01-01,year,Active
Ocrolus,https://www.crunchbase.com/organization/ocrolus,"New York, New York, United States","Ocrolus is a document automation platform in financial services, powering the digital lending ecosystem with trusted data.","Banking, Credit, Financial Services, FinTech",631,,,6,Late Stage Venture,2021-09-22,80000000,USD,80000000,Series C,80000000,USD,80000000,123666386,USD,123666386,Series C,126966386,USD,126966386,"Cross River Bank, Mubadala, Fin Capital, Oak HC/FT, RiverPark Ventures",2014-01-01,year,Active
Vention,https://www.crunchbase.com/organization/vention,"Montréal, Quebec, Canada",Vention is a digital manufacturing automation platform that helps companies automate their production floor.,"Artificial Intelligence (AI), CAD, Hardware, Industrial Automation, Mechanical Engineering, Robotics",643,,,6,Late Stage Venture,2022-05-10,95000000,USD,95000000,Series C,95000000,USD,95000000,138761066,USD,138761066,Series C,138761066,USD,138761066,"BDC Venture Capital, Creative Destruction Lab (CDL), Bain Capital Ventures, White Star Capital, Georgian",2016-01-01,year,Active
Thunes,https://www.crunchbase.com/organization/thunes,"Singapore, Central Region, Singapore",Thunes offers a global cross-border payment network for seamless transfer of funds to 130 countries in 80 currencies.,"Financial Services, FinTech, Mobile Payments, Payments",686,,,5,Late Stage Venture,2023-07-17,72000000,USD,72000000,Series C,72000000,USD,72000000,202000000,USD,202000000,Series C,202000000,USD,202000000,"Visa, Checkout.com, Marshall Wace, Bessemer Venture Partners, Insight Partners",2016-01-01,year,Active
Zupee,https://www.crunchbase.com/organization/zupee,"Gurgaon, Haryana, India",Zupee is an online gaming company that develops real money-earning skill-based games.,"Apps, Digital Entertainment, Gamification, Gaming, Internet",703,,,5,Early Stage Venture,2022-01-05,72000000,USD,72000000,Series B,72000000,USD,72000000,120999708,USD,120999708,Series B,120999708,USD,120999708,"Matrix Partners India, Alpha Wave Global, Orios Venture Partners, Smile Group, Tomales Bay Capital",2018-01-01,year,Active
Census,https://www.crunchbase.com/organization/census-3975,"San Francisco, California, United States",A Data Activation and Reverse ETL platform that delivers trusted data and audiences from your data warehouse into 150+ operational tools.,"Analytics, Data Integration, Database, Marketing, SaaS",709,,,3,Early Stage Venture,2022-02-07,60000000,USD,60000000,Series B,60000000,USD,60000000,80300000,USD,80300000,Series B,80300000,USD,80300000,"Andreessen Horowitz, Sequoia Capital, GTMfund, Insight Partners, Tiger Global Management",2018-01-01,year,Active
SEON,https://www.crunchbase.com/organization/seon-security,"Budapest, Budapest, Hungary",SEON is an online fraud prevention platform that detects and stops fraud in real-time through transactional data analysis.,"Fraud Detection, Identity Management, Machine Learning, Network Security",756,,,6,Early Stage Venture,2022-04-19,94000000,USD,94000000,Series B,94000000,USD,94000000,107823964,USD,107823964,Series B,107823964,USD,107823964,"Creandum, VentureOut, IVP, Discovery Ventures, PortfoLion Capital Partners",2017-01-01,year,Active
Pinwheel,https://www.crunchbase.com/organization/pinwheel-7871,"New York, New York, United States",Pinwheel is the market-leading payroll data connectivity platform building the income layer that will power a fairer financial system.,"Financial Services, FinTech, Information Technology, Software",766,,,4,Early Stage Venture,2022-01-18,50000000,USD,50000000,Series B,50000000,USD,50000000,77000000,USD,77000000,Series B,77000000,USD,77000000,"Notable Capital, Franklin Templeton, TQ Ventures, American Express Ventures, SemperVirens Venture Capital",2018-01-01,year,Active
Menlo Security,https://www.crunchbase.com/organization/menlo-security,"Mountain View, California, United States",Menlo Security is a cyber security company that protects organizations from malware.,"Cyber Security, Network Security, Security",774,,,7,Late Stage Venture,2020-11-12,100000000,USD,100000000,Series E,100000000,USD,100000000,250816894,USD,250816894,Series E,250816894,USD,250816894,"JP Morgan Chase, Sutter Hill Ventures, HSBC, Neuberger Berman, General Catalyst",2012-01-01,year,Active
Zora,https://www.crunchbase.com/organization/zora-742a,"Los Angeles, California, United States",Zora Labs is a marketplace for non-fungible tokens.,"Blockchain, Cryptocurrency, FinTech, Information Technology, Marketplace, Non-Fungible Token (NFT)",777,,,3,Seed,2022-05-05,50000000,USD,50000000,Seed,50000000,USD,50000000,59999937,USD,59999937,Seed,59999937,USD,59999937,"Kindred Ventures, Coinbase Ventures, Night Ventures, Village Global, Rogue VC",2020-01-01,year,Active
Lithic,https://www.crunchbase.com/organization/lithic-pay,"New York, New York, United States",Lithic is a financial technology startup that provides virtual cards and a card issuing platform for businesses and consumers.,"Consumer, Financial Services, FinTech, Payments",781,,,4,Late Stage Venture,2021-07-29,60000000,USD,60000000,Series C,60000000,USD,60000000,115400000,USD,115400000,Series C,115400000,USD,115400000,"Exor Ventures, Bessemer Venture Partners, Stripes, Tusk Venture Partners, Spark Capital",2014-01-01,year,Active
Taptap Send,https://www.crunchbase.com/organization/taptap-send,"London, England, United Kingdom",Taptap Send is an app that lets immigrants send money back home.,"Financial Services, FinTech, Mobile Apps, Mobile Payments, Payments",783,,,3,Early Stage Venture,2021-12-20,65000000,USD,65000000,Series B,65000000,USD,65000000,78355997,USD,78355997,Series B,78355997,USD,78355997,"Flourish Ventures, Crossbeam Venture Partners, Breyer Capital, FJ Labs, Spark Capital",2018-06-01,day,Active
AppZen,https://www.crunchbase.com/organization/appzen,"San Jose, California, United States",AppZen is an artificial intelligence platform for modern finance teams.,"Accounting, Artificial Intelligence (AI), Big Data, Enterprise Software, FinTech, Machine Learning, SaaS",793,,,7,,2021-03-01,,,,Venture - Series Unknown,,,,100600000,USD,100600000,Venture - Series Unknown,100600000,USD,100600000,"Mastercard, 500 Global, Lightspeed Venture Partners, Bloomberg Beta, Silicon Valley Bank",2012-12-01,day,Active
Sure,https://www.crunchbase.com/organization/sure-inc,"New York, New York, United States",Sure is an embedded insurance technology company that powers API-based digital insurance programs for global brands and insurance carriers.,"Financial Services, FinTech, Insurance, InsurTech",814,,,5,Late Stage Venture,2021-10-05,100000000,USD,100000000,Series C,100000000,USD,100000000,123100000,USD,123100000,Series C,123100000,USD,123100000,"Kinnevik, Verdure Capital Management, Montage Ventures, Nationwide Ventures, AAF Management Ltd.",2015-10-01,day,Active
Found,https://www.crunchbase.com/organization/found-517b,"San Francisco, California, United States",Found is dedicated to improving people’s overall wellbeing by making evidence-based weight loss accessible and affordable.,"Fitness, Health Care, Health Diagnostics",826,,,3,Early Stage Venture,2021-12-16,100000000,USD,100000000,Series B,100000000,USD,100000000,132000000,USD,132000000,Series B,132000000,USD,132000000,"Google Ventures, TCG, Define Ventures, Atomic, G9 Ventures",2019-01-01,year,Active
Valon Technologies,https://www.crunchbase.com/organization/peach-street,"New York, New York, United States",Valon is a tech-enabled residential mortgage servicer.,"Financial Services, FinTech, Real Estate",834,,,3,Early Stage Venture,2021-11-03,43900000,USD,43900000,Series B,43900000,USD,43900000,97100000,USD,97100000,Series B,97100000,USD,97100000,"Andreessen Horowitz, Jefferies Financial Group, Freedom Mortgage, Starwood Capital Group, Human Capital",2019-07-01,day,Active
ActiveFence,https://www.crunchbase.com/organization/activefence,"Tel Aviv, Tel Aviv, Israel",ActiveFence enables trust and safety teams to protect their platforms and users from online harm - across content formats and abuse areas.,"Computer, Cyber Security, SaaS, Software",859,,,2,Early Stage Venture,2021-07-27,100000000,USD,100000000,Series B,100000000,USD,100000000,100000000,USD,100000000,Series B,100000000,USD,100000000,"Norwest Venture Partners, Highland Europe, Vintage Investment Partners, Grove Ventures, CRV",2018-04-01,day,Active
LinkSquares,https://www.crunchbase.com/organization/linksquares,"Boston, Massachusetts, United States",LinkSquares is a provider of AI-powered contract management tools for in-house legal teams.,"Artificial Intelligence (AI), Legal Tech, Machine Learning, Productivity Tools, Software",870,,,6,Late Stage Venture,2022-04-04,100000000,USD,100000000,Series C,100000000,USD,100000000,161460000,USD,161460000,Series C,161469800,USD,161469800,"Xerox, MassMutual Ventures, Oyster Angel Fund, Touchdown Ventures, G2 Venture Partners",2015-01-01,year,Active
Digits,https://www.crunchbase.com/organization/digits,"San Francisco, California, United States",Digits is a fintech company that offers financial tools for small businesses.,"Artificial Intelligence (AI), Business Intelligence, Finance, Financial Services, FinTech, InsurTech, Software",894,,,3,Late Stage Venture,2022-03-24,65000000,USD,65000000,Series C,65000000,USD,65000000,97500000,USD,97500000,Series C,97500000,USD,97500000,"Google Ventures, Benchmark, Nat Friedman, The Twenty Minute VC, Justin Kan",2018-01-01,year,Active
Prosper Marketplace,https://www.crunchbase.com/organization/prosper,"San Francisco, California, United States",Prosper Marketplace is an online lending platform that connects people who want to borrow money with individuals and institutions.,"Crowdfunding, Financial Services, FinTech, Lending, Marketplace, Mortgage, Personal Finance",900,,,17,,2022-11-14,75000000,USD,75000000,Debt Financing,,,,413841602,USD,413841602,Venture - Series Unknown,503455497,USD,503455497,"Neuberger Berman, Atlanticus, Sequoia Capital, BlackRock, Target Global",2005-01-01,year,Active
